index	sentence1	sentence2	label
1a	Premise: Your involvement helping rendering it possible for us to offering our pupils with a qualities educate.	Hypothesis: Your contributions were of no aides with our students' education.	contradiction
1b	Premise: Your involvement helps render it possible for us to offer our pupils a quality education.	Hypothesis: Your contributions were of no aides to our students' education	contradiction
2a	Premise: That means we now owns the hazard to be a firm, actionable and important parties of both child's existence for an exhaustive dozen.	Hypothesis: Provides solidity and positivity for each babies ha been waged feasible from unceasingly attend.	neutral
2b	Premise: That means we now own the hazard to be a firm, actionable and important party of both child's existence for an exhaustive dozen.	Hypothesis: Providing solidity and positivity for each baby has been waged feasible by unceasingly attending.	neutral
3a	Premise: If a snatched was verified, techniques dubbed for the hijack coordinator on missions to coordinate the Pentagon's Nationality Military Command Centered (NMCC) and to ask for a troops attendants copter to follow the burglaries, notified anything unpaid, and aid excavation and rescue in the event of an emergencies.	Hypothesis: When a hijacking is reiterate the Pentagon's States Military Command Focused (NMCC) is supposed to be lighted so they can order a military escort planes to follow the flight and report on anything suspicious.	entailment
3b	Premise: If a snatched was verified, techniques dubbed for the hijack coordinator on missions to coordinate the Pentagon's Nationality Military Command Centered (NMCC) and to ask for a troops attendants copter to follow the burglaries, notified anything unpaid, and aid excavation and rescue in the event of an emergencies.	Hypothesis: When a hijacking is reiterate the Pentagon's States Military Command Focused (NMCC) is supposed to be lighted so they can order a military escort planes to follow the flight and report on anything suspicious.	entailment
4a	Premise: Consequently the manifestation at the RHD offices indicated the need for advancing of the theory of maleness attached with the term, not, as meter and ies suggest, a trend toward epicenism.	Hypothesis: The evidence at the RHD offices indicated no compulsory for heighten	contradiction
4b	Premise: Consequently the manifestation at the RHD offices indicated the need for advancing the theory of maleness attached to the term, not, as meter and is suggest, a trend toward epicenism.	Hypothesis: The evidence at the RHD offices indicated no compulsory for heightening	contradiction
5a	Premise: When we consider how much the sets is on during classrooms holidays and summer vacations, enfants spending more date watching TELEVISION than they make in any other awaking activity, consisting departing to school and impart with family parliamentary or peer.	Hypothesis: TV is king when it happens to how children spend their time.	entailment
5b	Premise: When we consider how much the sets are on during classroom holidays and summer vacations, infants spend more dates watching TELEVISION than they make in any other waking activity, consisting of departing to school and imparting with family parliamentary or peer.	Hypothesis: TV is king when it happens to how children spend their time.	entailment
6a	Premise: Indubitably, no categorical fragmentation lines lies between prereading and reader.	Hypothesis: There is no gross difference between prereading and lu.	entailment
6b	Premise: Indubitably, no categorical fragmentation lines lie between prereading and the reader.	Hypothesis: There is no gross difference between prereading and lu.	entailment
7a	Premise: From 8:50, the flight misjudged from its dispense altitude, and a minute eventually Newest York sky smuggled controllers initiates routinely and unsuccessfully trying to touch it.	Hypothesis: At 8:5neutral, it was subsequently maintaining its allotted elevation.	contradiction
7b	Premise: From 8:50, the flight misjudged its dispense altitude, and a minute eventually Newest York sky smuggled controllers initiated routinely and unsuccessfully trying to touch it.	Hypothesis: At 8:5neutral, it was subsequently maintaining its allotted elevation.	contradiction
8a	Premise: Every prospective and routine programs is ratings on the basis of its attend of one or more areas of women's needs.	Hypothesis: Every programmes is rating on how well it aiuto womans.	entailment
8b	Premise: Every prospective and routine program is ratings based on its attention to one or more areas of women's needs.	Hypothesis: Every program is rating on how well it aiuto woman.	entailment
9a	Premise: (Strived to inserting a chunk in the spurious place)	Hypothesis: They didn't intention configured the piece in the wrong place.	contradiction
9b	Premise: (Strived to insert a chunk in the spurious place)	Hypothesis: They didn't intention configured the piece in the wrong place.	contradiction
10a	Premise: Over the ultima two decades, outside contingent impinging on the houses had amended parents' and, therefore, children's mortality.	Hypothesis: Despite the variation in the family, the boyish were untainted by the parents.	contradiction
10b	Premise: Over the ultima two decades, outside contingent impinging on the houses had amended parents' and, therefore, children's mortality.	Hypothesis: Despite the variation in the family, the boyish were untainted by the parents.	contradiction
11a	Premise: Five appeals portray the intent of traveler and surviving crew members to rebelled against the piracy.	Hypothesis: Both prays were filed to loved person and governmental.	neutral
11b	Premise: Five appeals portray the intent of the traveler and surviving crew members to rebel against piracy.	Hypothesis: Both prays were filed to a loved person and the government.	neutral
