index	sentence1	sentence2	label
1a	Question1: Consequently are African-Americans afterward beautiful?	Question2: Why are hispanics accordingly beautiful?	0
1b	Question1: Are African-Americans beautiful as a consequence?	Question2: Why are Hispanics so beautiful?	0
2a	Question1: Can you TRANSFORMING these to English language?	Question2: Can you localized this from Hindi to English tongue?	0
2b	Question1: Can you translate these into the English language?	Question2: Can you translate this from Hindi to English?	0
3a	Question1: How is vanilla removing brought?	Question2: How ca you create candy croissants without vanilla abstraction?	0
3b	Question1: How is vanilla extract produced?	Question2: How can you make candy croissants without vanilla extract?	0
4a	Question1: What books should I read as an aspiring entrepreneur?	Question2: What are the upper books an aspiring teen entrepreneur waited read?	1
4b	Question1: What books should I read as an aspiring entrepreneur?	Question2: What are the best books an aspiring teenage entrepreneur should read?	1
5a	Question1: What is the next number of this sequence? 5…..17……37…..89…..??	Question2: What is the next number in the sequential?	0
5b	Question1: What is the next number in this sequence? 5…..17……37…..89…..??	Question2: What is the next number in the sequence?	0
6a	Question1: How get me imposed for operating as an worldwide learner in the unify declaring?	Question2: Proteus sw Ir Spotlight Alarms Microcontrollers +1 Therefore can me falsify an RI alarms exploitation Proteus sw?	0
6b	Question1: How can I get permission to operate as an international learner in the United States?	Question2: Can I use Proteus software to simulate RI alarms for microcontrollers?	0
7a	Question1: What's the nicest shape to make money website from India?	Question2: What is the strictest way to make money in india?	0
7b	Question1: What is the best way to make money from a website in India?	Question2: What is the most effective way to make money in India?	0
8a	Question1: What is one of the bigger misunderstandings people have about you?	Question2: What done you collate to represent the biggest misconception people have about you? Why do you thinks this miscommunication exists?	1
8b	Question1: What is one of the biggest misunderstandings people have about you?	Question2: What do you think is the biggest misconception people have about you? Why do you think this misunderstanding exists?	1
9a	Question1: How are people evil?	Question2: So are some people evil? Are they born that way or got living put them malign?	0
9b	Question1: Why are some people evil?	Question2: Are they born that way or do their experiences make them malicious?	0
10a	Question1: FtM: How supremely of an affect wanna Pituitary get on your mental/psychological health when you commences HRT?	Question2: What are circumstances of mental and affective health?	0
10b	Question1: FtHow much of an effect does the Pituitary gland have on your mental and psychological health when you start HRT as a female-to-male individual?	Question2: What are examples of mental and emotional health?	0
11a	Question1: Which blokes of befitting can we declares of pen and their opening (roof)?	Question2: Consequently wo me immensity/fitting a pill pens to a tapestry?	0
11b	Question1: What are the different types of pens and their nibs (points)?	Question2: How do I measure/fit a nib on a pen?	0
12a	Question1: What assumes Axl Rose's voting especial?	Question2: Represent Axl Rose puto?	0
12b	Question1: What is Axl Rose's vocal range?	Question2: Is Axl Rose a soprano?	0
13a	Question1: About Windows 10, how fact you transmutation record associating back to unrecognized schedule?	Question2: How fact you expend from Windows Informant Emission Return to Window 10?	0
